City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,vysokaya gora,55.9128,49.3017,10.1,90,65,5.55,RU,1693164541
1,saipan,15.1355,145.701,27.39,89,40,3.09,MP,1693164541
2,pelabuhan klang,3.0,101.4,28.21,84,100,1.59,MY,1693164541
3,bethel,41.3712,-73.414,28.45,65,40,3.6,US,1693164541
4,utrik,11.2278,169.8474,28.27,78,14,8.62,MH,1693164541
5,bahia blanca,-38.7196,-62.2724,16.57,18,0,4.47,AR,1693164542
6,tolanaro,-25.0319,46.9987,22.04,78,75,5.14,MG,1693164542
7,nizhneangarsk,55.7833,109.55,12.93,72,86,0.42,RU,1693164542
8,port-aux-francais,-49.35,70.2167,6.37,96,100,18.48,TF,1693164542
9,yarmouth,41.7057,-70.2286,23.33,88,100,6.71,US,1693164543
10,puerto ayora,-0.7393,-90.3518,29.98,82,98,3.13,EC,1693164543
11,margaret river,-33.95,115.0667,15.18,86,72,3.38,AU,1693164543
12,atafu village,-8.5421,-172.5159,28.0,69,92,6.31,TK,1693164397
13,olonkinbyen,70.9221,-8.7187,6.68,94,100,6.13,SJ,1693164324
14,aasiaat,68.7098,-52.8699,3.67,91,100,2.47,GL,1693164543
15,roswell,34.0232,-84.3616,38.66,43,75,3.09,US,1693164411
16,callao,-12.0667,-77.15,22.16,64,100,5.14,PE,1693164544
17,grytviken,-54.2811,-36.5092,-1.87,85,44,3.88,GS,1693164544
18,itaituba,-4.2761,-55.9836,38.09,37,20,1.54,BR,1693164544
19,blackmans bay,-43.0167,147.3167,3.07,93,0,2.71,AU,1693164544
20,tinajo,29.0788,-13.7081,24.49,69,20,12.35,ES,1693164545
21,edinburgh of the seven seas,-37.0676,-12.3116,14.1,93,100,11.18,SH,1693164545
22,zouerate,22.7187,-12.4521,41.31,9,1,5.23,MR,1693164545
23,ola,59.5833,151.2833,9.81,87,87,0.81,RU,1693164545
24,mejit,10.2753,170.8646,27.88,79,54,7.29,MH,1693164545
25,yellowknife,62.456,-114.3525,16.34,81,75,7.72,CA,1693164546
26,san patricio,28.017,-97.5169,38.37,30,0,1.09,US,1693164546
27,jamestown,42.097,-79.2353,23.34,57,75,3.6,US,1693164501
28,keflavik,64.0049,-22.5624,12.95,87,75,7.2,IS,1693164546
29,enewetak,11.3474,162.3373,28.29,78,100,12.07,MH,1693164547
30,whitehorse,60.7161,-135.0538,21.43,50,75,4.12,CA,1693164547
31,ushuaia,-54.8,-68.3,8.81,57,0,3.09,AR,1693164362
32,bandon,51.7469,-8.7425,14.77,82,100,7.58,IE,1693164547
33,puerto natales,-51.7236,-72.4875,4.58,94,100,0.82,CL,1693164547
34,lazaro cardenas,17.9583,-102.2,30.25,66,47,3.26,MX,1693164548
35,wad rawah,15.1603,33.1397,32.66,43,65,2.99,SD,1693164548
36,hamilton,39.1834,-84.5333,29.03,60,0,2.06,US,1693164523
37,kodiak,57.79,-152.4072,14.73,82,0,3.6,US,1693164548
38,longyearbyen,78.2186,15.6401,7.91,93,75,3.6,SJ,1693164395
39,port mathurin,-19.6833,63.4167,22.38,76,50,12.3,MU,1693164548
